"","X","SP","taxon_key","common_name","SN","SpecCode","Genus","Subfamily","Family","Order","hemispheres","outliers","media_bs"
"1",1,"SP12",600107,"Skipjack tuna","Katsuwonus pelamis",107,"Katsuwonus","Scombrinae","Scombridae","Scombriformes","north & south",1,387406.631171667
"2",2,"SP18",600143,"Yellowfin tuna","Thunnus albacares",143,"Thunnus","Scombrinae","Scombridae","Scombriformes","north & south",1,144013.25045
"3",3,"SP28",600146,"Bigeye tuna","Thunnus obesus",146,"Thunnus","Scombrinae","Scombridae","Scombriformes","north",1,64918.6496316667
"4",4,"SP34",600142,"Albacore","Thunnus alalunga",142,"Thunnus","Scombrinae","Scombridae","Scombriformes","north & south",0,49414.996975
"5",5,"SP76",600147,"Atlantic bluefin tuna","Thunnus thynnus",147,"Thunnus","Scombrinae","Scombridae","Scombriformes","north",2,9083.53082666667
"6",6,"SP11",600066,"European anchovy","Engraulis encrasicolus",66,"Engraulis","Engraulinae","Engraulidae","Clupeiformes","north & south",0,249790.719121667
"7",7,"SP1",600024,"Atlantic herring","Clupea harengus",24,"Clupea","Clupeinae","Clupeidae","Clupeiformes","north",0,2303211.55492833
"8",8,"SP2",600069,"Atlantic cod","Gadus morhua",69,"Gadus",NA,"Gadidae","Gadiformes","north",3,1516384.06828833
"9",9,"SP3",600118,"Atlantic mackerel","Scomber scombrus",118,"Scomber","Scombrinae","Scombridae","Scombriformes","north & south",3,1223353.83561833
"10",10,"SP5",600252,"Capelin","Mallotus villosus",252,"Mallotus",NA,"Osmeridae","Osmeriformes","north",0,936920.451071667
"11",11,"SP6",600031,"Blue whiting","Micromesistius poutassou",31,"Micromesistius",NA,"Gadidae","Gadiformes","north",0,851247.717115
"12",12,"SP8",601381,"Haddock","Melanogrammus aeglefinus",1381,"Melanogrammus",NA,"Gadidae","Gadiformes","north",0,466179.170656667
"13",13,"SP9",601357,"European sprat","Sprattus sprattus",1357,"Sprattus","Clupeinae","Clupeidae","Clupeiformes","north",0,399989.112096667
"14",14,"SP10",601343,"Saithe","Pollachius virens",1343,"Pollachius",NA,"Gadidae","Gadiformes","north",2,431277.14207
"15",15,"SP19",601365,"Atlantic horse mackerel","Trachurus trachurus",1365,"Trachurus","Caranginae","Carangidae","Carangiformes","north & south",1,117176.344305
"16",16,"SP21",600030,"European hake","Merluccius merluccius",30,"Merluccius",NA,"Merlucciidae","Gadiformes","north & south",2,104306.365275
"17",17,"SP22",600516,"Greenland halibut","Reinhardtius hippoglossoides",516,"Reinhardtius","Hippoglossinae","Pleuronectidae","Pleuronectiformes","north",1,101513.07221
"18",18,"SP23",601342,"European plaice","Pleuronectes platessa",1342,"Pleuronectes","Pleuronectinae","Pleuronectidae","Pleuronectiformes","north",3,86836.7884583333
"19",19,"SP30",601023,"Norway pout","Trisopterus esmarkii",1023,"Trisopterus",NA,"Gadidae","Gadiformes","north",1,60517.128495
"20",20,"SP31",600505,"Deepwater redfish","Sebastes mentella",505,"Sebastes","Sebastinae","Sebastidae","Perciformes/Scorpaenoidei","north",1,56008.1907516667
"21",21,"SP35",600033,"Ling","Molva molva",33,"Molva",NA,"Lotidae","Gadiformes","north",0,49576.89362
"22",22,"SP36",600226,"Swordfish","Xiphias gladius",226,"Xiphias",NA,"Xiphiidae","Carangiformes","north & south",1,42352.004615
"23",23,"SP37",600029,"Whiting","Merlangius merlangus",29,"Merlangius",NA,"Gadidae","Gadiformes","north",0,35551.24068
"24",24,"SP38",601288,"Largehead hairtail","Trichiurus lepturus",1288,"Trichiurus","Trichiurinae","Trichiuridae","Scombriformes","north & south",0,36623.8392016667
"25",25,"SP42",600525,"Common sole","Solea solea",525,"Solea",NA,"Soleidae","Pleuronectiformes","north & south",3,27366.184545
"26",26,"SP50",601341,"Flounder","Platichthys flesus",1341,"Platichthys","Pleuronectinae","Pleuronectidae","Pleuronectiformes","north",1,18030.64914
"27",27,"SP53",601370,"John dory","Zeus faber",1370,"Zeus",NA,"Zeidae","Zeiformes","north & south",0,17388.9455533333
"28",28,"SP61",600716,"Angler","Lophius piscatorius",716,"Lophius",NA,"Lophiidae","Lophiiformes","north",1,14657.2325616667
"29",29,"SP66",600006,"Common dolphinfish","Coryphaena hippurus",6,"Coryphaena",NA,"Coryphaenidae","Carangiformes","north & south",0,13332.4201633333
"30",30,"SP71",600301,"European conger","Conger conger",301,"Conger","Congrinae","Congridae","Anguilliformes","north & south",0,11364.0454183333
