"","X","SP","taxon_key","common_name","SN","SpecCode","Genus","Subfamily","Family","Order","hemispheres","outliers","media_bs"
"1",1,"SP12",600107,"Skipjack tuna","Katsuwonus pelamis",107,"Katsuwonus","Scombrinae","Scombridae","Scombriformes","north & south",1,387406.631171667
"2",2,"SP18",600143,"Yellowfin tuna","Thunnus albacares",143,"Thunnus","Scombrinae","Scombridae","Scombriformes","north & south",1,144013.25045
"3",4,"SP34",600142,"Albacore","Thunnus alalunga",142,"Thunnus","Scombrinae","Scombridae","Scombriformes","north & south",0,49414.996975
"4",6,"SP11",600066,"European anchovy","Engraulis encrasicolus",66,"Engraulis","Engraulinae","Engraulidae","Clupeiformes","north & south",0,249790.719121667
"5",9,"SP3",600118,"Atlantic mackerel","Scomber scombrus",118,"Scomber","Scombrinae","Scombridae","Scombriformes","north & south",3,1223353.83561833
"6",15,"SP19",601365,"Atlantic horse mackerel","Trachurus trachurus",1365,"Trachurus","Caranginae","Carangidae","Carangiformes","north & south",1,117176.344305
"7",16,"SP21",600030,"European hake","Merluccius merluccius",30,"Merluccius",NA,"Merlucciidae","Gadiformes","north & south",2,104306.365275
"8",22,"SP36",600226,"Swordfish","Xiphias gladius",226,"Xiphias",NA,"Xiphiidae","Carangiformes","north & south",1,42352.004615
"9",24,"SP38",601288,"Largehead hairtail","Trichiurus lepturus",1288,"Trichiurus","Trichiurinae","Trichiuridae","Scombriformes","north & south",0,36623.8392016667
"10",25,"SP42",600525,"Common sole","Solea solea",525,"Solea",NA,"Soleidae","Pleuronectiformes","north & south",3,27366.184545
"11",27,"SP53",601370,"John dory","Zeus faber",1370,"Zeus",NA,"Zeidae","Zeiformes","north & south",0,17388.9455533333
"12",29,"SP66",600006,"Common dolphinfish","Coryphaena hippurus",6,"Coryphaena",NA,"Coryphaenidae","Carangiformes","north & south",0,13332.4201633333
"13",30,"SP71",600301,"European conger","Conger conger",301,"Conger","Congrinae","Congridae","Anguilliformes","north & south",0,11364.0454183333
